parameter,family,method,sample_size,mean_bias,mean_rel_bias,mean_bias_z,mean_true_value,min_rel_bias,max_rel_bias
alpha,kkw,nlminb,500,0.029134495089125245,0.014567247544562623,0.005613671140229526,2,0.014567247544562623,0.014567247544562623
alpha,kkw,nlminb,1000,-0.06994980660159644,-0.03497490330079822,-0.013458418870925536,2,-0.03497490330079822,-0.03497490330079822
alpha,kkw,nlminb,5000,-0.15394674679066034,-0.07697337339533017,-0.03602968633655303,2,-0.07697337339533017,-0.07697337339533017
alpha,kkw,nr,100,0.3984154003741476,0.1992077001870738,0.009416481917435772,2,0.1992077001870738,0.1992077001870738
alpha,kkw,nr,250,0.7900962910140521,0.39504814550702605,0.00835019286953233,2,0.39504814550702605,0.39504814550702605
alpha,kkw,nr,500,0.9306157852360188,0.4653078926180094,0.011013869771035145,2,0.4653078926180094,0.4653078926180094
alpha,kkw,nr,1000,-0.17455935403471456,-0.08727967701735728,-0.005851718592347968,2,-0.08727967701735728,-0.08727967701735728
alpha,kkw,nr,5000,-0.018519827851791293,-0.009259913925895646,-2.6223544190460214e-4,2,-0.009259913925895646,-0.009259913925895646
alpha,kkw,optim,100,1.8873901670365587,0.9436950835182794,0.2904372438790774,2,0.9436950835182794,0.9436950835182794
alpha,kkw,optim,250,1.4355359590890626,0.7177679795445313,0.2832670466805136,2,0.7177679795445313,0.7177679795445313
alpha,kkw,optim,500,-0.01658215974671773,-0.008291079873358864,-0.003595636290307661,2,-0.008291079873358864,-0.008291079873358864
alpha,kkw,optim,1000,0.08787621548144475,0.043938107740722376,0.021973270912847138,2,0.043938107740722376,0.043938107740722376
alpha,kkw,optim,5000,-0.4384017467541177,-0.21920087337705885,-0.14997419879980178,2,-0.21920087337705885,-0.21920087337705885
alpha,kkw,tmb,100,0.24714642779879847,0.12357321389939924,0.11415825261498765,2,0.12357321389939924,0.12357321389939924
alpha,kkw,tmb,250,0.3027245649906045,0.15136228249530226,0.15605571379064148,2,0.15136228249530226,0.15136228249530226
alpha,kkw,tmb,500,0.20870722331220737,0.10435361165610368,0.12168870911200858,2,0.10435361165610368,0.10435361165610368
alpha,kkw,tmb,1000,0.12515243723575553,0.06257621861787777,0.08229364950989752,2,0.06257621861787777,0.06257621861787777
alpha,kkw,tmb,5000,-0.006367716255195166,-0.003183858127597583,-0.004980944197265232,2,-0.003183858127597583,-0.003183858127597583
alpha,kw,nlminb,100,0.036486854550353165,0.018243427275176582,0.1742783278800415,2,0.018243427275176582,0.018243427275176582
alpha,kw,nlminb,250,0.015194682859305697,0.0075973414296528485,0.11565521577020424,2,0.0075973414296528485,0.0075973414296528485
alpha,kw,nlminb,500,0.007970064489800865,0.003985032244900433,0.08601461973238773,2,0.003985032244900433,0.003985032244900433
alpha,kw,nlminb,1000,0.003793683775001,0.0018968418875005,0.05798952741056371,2,0.0018968418875005,0.0018968418875005
alpha,kw,nlminb,5000,8.152052522945041e-4,4.0760262614725207e-4,0.027897068376483643,2,4.0760262614725207e-4,4.0760262614725207e-4
alpha,kw,nr,100,0.03359720788906273,0.016798603944531365,0.16059295671224097,2,0.016798603944531365,0.016798603944531365
alpha,kw,nr,250,0.013694913361825378,0.006847456680912689,0.10428482924524782,2,0.006847456680912689,0.006847456680912689
alpha,kw,nr,500,0.011159175869198457,0.005579587934599228,0.12029227302220899,2,0.005579587934599228,0.005579587934599228
alpha,kw,nr,1000,0.00843115615114387,0.004215578075571935,0.12867312277699797,2,0.004215578075571935,0.004215578075571935
