parameter,family,method,sample_size,mean_coverage,min_coverage,max_coverage,target_coverage,coverage_diff
alpha,kw,optim,100,0.9486,0.9486,0.9486,0.95,-0.0013999999999999568
alpha,kw,optim,250,0.9438,0.9438,0.9438,0.95,-0.006199999999999983
alpha,kw,optim,500,0.951,0.951,0.951,0.95,0.0010000000000000009
alpha,kw,optim,1000,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
alpha,kw,optim,5000,0.95,0.95,0.95,0.95,0
alpha,kw,tmb,100,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
alpha,kw,tmb,250,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
alpha,kw,tmb,500,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
alpha,kw,tmb,1000,0.9524,0.9524,0.9524,0.95,0.0024000000000000687
alpha,kw,tmb,5000,0.9496,0.9496,0.9496,0.95,-3.9999999999995595e-4
beta,bkw,nlminb,100,0.924853228962818,0.924853228962818,0.924853228962818,0.95,-0.025146771037181992
beta,bkw,nlminb,250,0.8736988202637057,0.8736988202637057,0.8736988202637057,0.95,-0.07630117973629424
beta,bkw,nlminb,500,0.8421787709497207,0.8421787709497207,0.8421787709497207,0.95,-0.10782122905027924
beta,bkw,nlminb,1000,0.8392668311596757,0.8392668311596757,0.8392668311596757,0.95,-0.11073316884032425
beta,bkw,nlminb,5000,0.8048346960540349,0.8048346960540349,0.8048346960540349,0.95,-0.14516530394596505
beta,bkw,nr,100,0.9937456567060459,0.9937456567060459,0.9937456567060459,0.95,0.04374565670604591
beta,bkw,nr,250,0.998175737306172,0.998175737306172,0.998175737306172,0.95,0.048175737306172084
beta,bkw,nr,500,0.9876258389261745,0.9876258389261745,0.9876258389261745,0.95,0.03762583892617455
beta,bkw,nr,1000,0.993987493987494,0.993987493987494,0.993987493987494,0.95,0.04398749398749402
beta,bkw,nr,5000,0.9951159951159951,0.9951159951159951,0.9951159951159951,0.95,0.04511599511599518
beta,bkw,optim,100,0.9825392127848476,0.9825392127848476,0.9825392127848476,0.95,0.032539212784847615
beta,bkw,optim,250,0.9838129496402878,0.9838129496402878,0.9838129496402878,0.95,0.033812949640287804
beta,bkw,optim,500,0.9947674418604651,0.9947674418604651,0.9947674418604651,0.95,0.04476744186046511
beta,bkw,optim,1000,0.9984291548853284,0.9984291548853284,0.9984291548853284,0.95,0.048429154885328396
beta,bkw,optim,5000,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,100,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,250,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,500,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,1000,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,5000,1,1,1,0.95,0.050000000000000044
beta,ekw,nlminb,100,0.9493534482758621,0.9493534482758621,0.9493534482758621,0.95,-6.46551724137856e-4
beta,ekw,nlminb,250,0.938591210114389,0.938591210114389,0.938591210114389,0.95,-0.011408789885611004
beta,ekw,nlminb,500,0.9452,0.9452,0.9452,0.95,-0.0047999999999999154
beta,ekw,nlminb,1000,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
beta,ekw,nlminb,5000,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
beta,ekw,nr,100,0.9609144542772862,0.9609144542772862,0.9609144542772862,0.95,0.010914454277286212
beta,ekw,nr,250,0.9236393176279447,0.9236393176279447,0.9236393176279447,0.95,-0.026360682372055244
beta,ekw,nr,500,0.918321848398865,0.918321848398865,0.918321848398865,0.95,-0.03167815160113496
beta,ekw,nr,1000,0.9489182692307693,0.9489182692307693,0.9489182692307693,0.95,-0.0010817307692306821
beta,ekw,nr,5000,0.9432,0.9432,0.9432,0.95,-0.006799999999999917
beta,ekw,optim,100,0.946865037194474,0.946865037194474,0.946865037194474,0.95,-0.0031349628055259426
beta,ekw,optim,250,0.9411057692307693,0.9411057692307693,0.9411057692307693,0.95,-0.008894230769230682
beta,ekw,optim,500,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
beta,ekw,optim,1000,0.9468,0.9468,0.9468,0.95,-0.0031999999999999806
beta,ekw,optim,5000,0.9524,0.9524,0.9524,0.95,0.0024000000000000687
beta,ekw,tmb,100,0.9422920065252854,0.9422920065252854,0.9422920065252854,0.95,-0.007707993474714514
beta,ekw,tmb,250,0.943808950431467,0.943808950431467,0.943808950431467,0.95,-0.0061910495685330025
beta,ekw,tmb,500,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
beta,ekw,tmb,1000,0.9532,0.9532,0.9532,0.95,0.0032000000000000917
beta,ekw,tmb,5000,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
beta,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
