family,method,sample_size,mean_convergence,min_convergence,max_convergence,mean_time,min_time,max_time
ekw,nr,1000,0.9984,0.9984,0.9984,0.14952788325265431,0.14952788325265431,0.14952788325265431
ekw,nr,5000,1,1,1,0.276777450466156,0.276777450466156,0.276777450466156
ekw,optim,100,0.941,0.941,0.941,0.08253063937682781,0.08253063937682781,0.08253063937682781
ekw,optim,250,0.9984,0.9984,0.9984,0.08709761829903492,0.08709761829903492,0.08709761829903492
ekw,optim,500,1,1,1,0.09134929275512696,0.09134929275512696,0.09134929275512696
ekw,optim,1000,1,1,1,0.10559503798484803,0.10559503798484803,0.10559503798484803
ekw,optim,5000,1,1,1,0.15538641047477722,0.15538641047477722,0.15538641047477722
ekw,tmb,100,0.9808,0.9808,0.9808,0.1049419985704282,0.1049419985704282,0.1049419985704282
ekw,tmb,250,0.9966,0.9966,0.9966,0.10923346950661914,0.10923346950661914,0.10923346950661914
ekw,tmb,500,1,1,1,0.12608944940567016,0.12608944940567016,0.12608944940567016
ekw,tmb,1000,1,1,1,0.15443270754814148,0.15443270754814148,0.15443270754814148
ekw,tmb,5000,1,1,1,0.33931566672325136,0.33931566672325136,0.33931566672325136
gkw,nlminb,100,0.3316,0.3316,0.3316,0.08590830393378208,0.08590830393378208,0.08590830393378208
gkw,nlminb,250,0.3738,0.3738,0.3738,0.09622222462588291,0.09622222462588291,0.09622222462588291
gkw,nlminb,500,0.3924,0.3924,0.3924,0.11180142707416406,0.11180142707416406,0.11180142707416406
gkw,nlminb,1000,0.4066,0.4066,0.4066,0.1496063357670789,0.1496063357670789,0.1496063357670789
gkw,nlminb,5000,0.4138,0.4138,0.4138,0.37274515738286734,0.37274515738286734,0.37274515738286734
gkw,nr,100,0.4498,0.4498,0.4498,0.13391380683217063,0.13391380683217063,0.13391380683217063
gkw,nr,250,0.768,0.768,0.768,0.17606621384620666,0.17606621384620666,0.17606621384620666
gkw,nr,500,0.9158,0.9158,0.9158,0.13654325351519314,0.13654325351519314,0.13654325351519314
