method,parameter,sample_size,mean_abs_bias,mean_abs_rel_bias,mean_abs_bias_z,mean_coverage,mean_convergence,mean_time
optim,gamma,500,0.1507835468757757,0.18497902862595014,0.19701692488449607,0.8694271213580695,0.7182857142857143,0.10261770064197837
optim,gamma,1000,0.15631252965776188,0.19381997434953221,0.10240064346002627,0.9437382343700911,0.6929714285714286,0.12072970918536743
optim,gamma,5000,0.01244604474495059,0.01508891248527903,0.039921793595294505,0.932941930816396,0.6607428571428571,0.22591213483584072
tmb,gamma,100,0.41198530927457966,0.4627614195868266,0.2524256727986454,0.9224319818580854,0.9789714285714286,0.1062567215714452
tmb,gamma,250,0.25263036130233296,0.2804250685382992,0.2289905164739975,0.9287328388272519,0.9847142857142858,0.11706365382136527
tmb,gamma,500,0.14166478380137792,0.1544870419178137,0.19445352990643927,0.9256933826439832,0.9836857142857143,0.13470858703419009
tmb,gamma,1000,0.062818415372108,0.0670539786452359,0.14859527615787865,0.9219560129424884,0.9833714285714286,0.170093083287922
tmb,gamma,5000,0.0327972485748155,0.039177534367499656,0.11581653534926249,0.9256744548503972,0.9890857142857142,0.3748488687856838
nlminb,lambda,100,12.575854462019606,8.383902974679737,0.13161603484700246,0.8299568965517241,0.5676285714285715,0.08287280227828743
nlminb,lambda,250,4.343188329656256,2.895458886437504,0.18679991777651347,0.9354812784011386,0.5999714285714286,0.0876444906384177
nlminb,lambda,500,1.9691162094514625,1.3127441396343085,0.23812330784110552,0.964183962881533,0.612,0.0966269922354573
nlminb,lambda,1000,1.520773298808363,1.013848865872242,0.2337948481602394,0.9685383567606178,0.619,0.11711059909662766
nlminb,lambda,5000,0.6595871768591685,0.43972478457277897,0.1889726751430207,0.9680613500886096,0.6318857142857143,0.2615312234441917
nr,lambda,100,0.727421984912684,0.48494798994178934,0.007916161099474612,0.9721704018889221,0.7803714285714286,0.09926566112076317
nr,lambda,250,0.8377569184017268,0.5585046122678179,0.02581529652317779,0.9463515378145863,0.8884,0.11293873277257566
nr,lambda,500,0.511482391123157,0.3409882607487713,0.015377885810541305,0.9724211943479302,0.9392,0.12116907807236403
nr,lambda,1000,0.5680681288236841,0.37871208588245603,0.014977811277562047,0.9876128373588291,0.9578285714285715,0.13060622280835055
nr,lambda,5000,0.38678569985981637,0.2578571332398776,0.004644106705532409,0.9696859284437152,0.8901714285714286,0.3248663572417184
optim,lambda,100,6.371867377169843,4.247911584779896,0.2335241861242847,0.8292259798898655,0.7079428571428571,0.08648177561463427
optim,lambda,250,4.167914194452939,2.778609462968626,0.28741907740969985,0.8658045215206136,0.7101714285714286,0.09208196604885135
optim,lambda,500,4.2719578206762,2.8479718804508,0.33427271823928095,0.9471463632310869,0.7182857142857143,0.10261770064197837
optim,lambda,1000,0.8456648347417596,0.5637765564945063,0.2191129925805521,0.8990893809472122,0.6929714285714286,0.12072970918536743
optim,lambda,5000,0.5149383565899358,0.34329223772662387,0.2159347201451601,0.9467486890501384,0.6607428571428571,0.22591213483584072
tmb,lambda,100,0.668847115358145,0.44589807690543004,0.21257253393244693,0.9376792065246762,0.9789714285714286,0.1062567215714452
tmb,lambda,250,0.5040049239730671,0.3360032826487114,0.1924982769585014,0.9255494832982115,0.9847142857142858,0.11706365382136527
tmb,lambda,500,0.5472414488704707,0.3648276325803138,0.1877639360413391,0.9377807519715342,0.9836857142857143,0.13470858703419009
tmb,lambda,1000,0.5857365642660836,0.39049104284405567,0.19807882301084476,0.9443883916305116,0.9833714285714286,0.170093083287922
tmb,lambda,5000,0.5524653816636044,0.3683102544424029,0.21763028702114073,0.9512058347668753,0.9890857142857142,0.3748488687856838
